作者,内容,评论数
吃了两碗又盛,店里经常接待一个男孩，听说他小时候因为喜欢女生用的东西经常被同学嘲笑，现在初中了，自尊心变强了，买东西要问这个是男生喜欢的还是女生喜欢的。<br/>周六，他选好了一块米兔图案的手表，问我:阿姨，这是男生喜欢的吗？<br/>我都要笑抽了，这明显是女生用的啊，，，等等，谁是阿姨？,3321
小布丁越舔越甜,表哥相亲很多美女，没一个他喜欢的！那天我闺蜜来我家玩，表哥正好也在，我们吃饭的时候，闺蜜大口吃肉，大口夹菜，一点有没有女人的样子！<br/>我就说她：你矜持点好吧，跟个爷们样，以后谁敢娶你！<br/>表哥突然满脸通红：不做作！我就喜欢这种类型的，咱俩结拜兄弟咋样?,4688
缺根萝卜～,晚上看到儿子从我包包里拿出我的口红，涂了个大红嘴，脸上涂了两坨红，见自己的“恶行”被我发现，呲着一排小白牙笑说:妈妈，你看我多丑！这样更像你了……,7057
丢了车票,楼主在糗百最长签到99天中断，一忙起来就没时间签到了，才发现能签几百天的人不是多有毅力，不是单身就是闲的蛋疼…,5835
我就撩撩吥泡你,扶贫接力计划见闻录【二】<br/>曾经响应号召参加扶贫接力计划，热血满腔的我去一个山区服务半年。<br/>当时和我一起的还有两个人，一个支教的女老师，一个支农的男农技师。我们三个都住在一栋木质结构的两层小楼里，三个房间并排着。<br/>那个农技师是个胖子，每天鼾声如雷。因为木板房一点隔音效果都没有。所以我和女教师经常被鼾声吵到睡不着，然后就爬起来在走廊上小声聊天。有次聊着聊着突然听到鼾声停了，过了一会儿听到那家伙在打电话：“妈妈，你睡了吧，我被自己鼾声吓醒了，嗯，我挺好的，就是想你了……呜呜呜……”<br/>我和女老师在外面听...,2669
二货安好。,楼主外卖小哥，今天给 消 防 中队送奶茶。好家伙，一进消 防 的 大门！蹭的跳出两条大狼狗！嗷呜嗷呜直追我来！吓得我直接从小电驴跳起来！没命的跑，看见国旗杆，二话不说，蹭蹭的跟猴子一样往上爬……特么滴差点没给我吓尿了！<br/>后来……还是几个 兵 哥哥把我从国旗杆上救下来……,3262
（驹迷）真的爱你,昨晚和老爹视频聊天，老爹挺新潮，手机45度角面对着我<br/>我说：老爸，咱能不能正常对着摄像头，这样可丑了！<br/>我爹：我丑不丑管你啥事，我丑我高兴<br/>我：不管你啥事？那你也得想想和你视频聊天的人啥心情！<br/>话刚说完，老爹给挂了！！！,3010
我是煮茶,和表弟吃饭时，一起看跳伞的电视节目，表弟看得很激动！<br/>表弟问我：“那么高，哥，你说如果忘了带伞会怎样？”<br/>我：“你说会怎样？！”<br/>表弟：“肯定会给太阳晒黑呗！”<br/>表弟这奇葩关注点我也是服了！,4334
烟雨楼台夜朦胧,和同事打闹，围着桌子跑了几圈，眼看要被同事追到，我一个转身推开隔壁办公室的门就要进去，想着，老板在里面，同事可就不敢乱来了！然后我就把刚准备出来的老板推倒在地了，看着捂着鼻子的老板，我脸上的笑脸都还没收回去……,2847
我独自一人的故事,女友家人对我不太满意，我尽最大努力争取给她家人留下好印象。<br/>今天女友带着她侄女与我一起逛街，在我为女友侄女买第五个冰淇淋时，终于得到了小萝莉的认可，因为小侄女吃着冰淇淋轻轻的说:“姑父！你比我姑姑的前男友懂事多了！！,5476
二女子、,读初中的时候，情窦初开，喜欢班里一个男生，明示暗示的都跟他说了，他就是没反应！<br/>我一直以为他可能不喜欢我或者没明白我的意思！<br/>毕业那年，大家一起聚，中途去上厕所出来就听到他好朋友问他，那谁谁谁不是喜欢你么，你为啥不答应？<br/>他想都没想说，她长那么胖，我怕她把我吃穷了。<br/>擦……,3419
小明每日一黄,看见一美女在超市踮着脚拿货架上的东西，可依旧差点，我觉得是我的机会，走了过去，美女看见了，害羞的点头示意，我撸了撸袖子，在她满怀期待中抱着她的屁股往上抬了抬。。。,4022
临沂，无敌骑士,刚刚发生的事，来青岛玩，约好了一辆滴滴快车去汽车站，在等车的时候，过来一大叔大妈问我去汽车站坐几路公交车，我就顺便让他们上车带过来了，到地一共八块钱，我直接手机支付了，大叔非给我六块，我不愿意要，拉扯半天，只能收下了，好吧大叔，我是沾您的光了，，，，,3838
图样图森破9,本人看着显小～～～没得割～～～<br/><br/>记得有次不舒服，老公带我去医院<br/>医生:哟！你家小鬼呀？怎么了？哪不舒服？<br/>老公:  ……<br/>看着老公那暴风雨来临之前故作镇定的脸我已憋成内伤！,2521
我说她是金克斯,“你小时候挨过家长最狠的一次打是因为什么？”<br/>“六七岁的时候偷看隔壁王寡妇洗澡被抓，我爸差点没打死我。”<br/>“啊？至于吗，那时候你又啥都不懂。”<br/>“咳咳，因为当时我把我爸给不小心暴露了。”<br/>“额。。。。。”,3286
山鹰寂寞飞,一哥们，讨个老婆是自己的跆拳道教练。每次吵架，他老婆都会扔两个拳击手套给他，然后飞速下楼等他，，两人打的外人根本没法拉，，打完开车一起去医院。<br/><br/>我们都说迟早得打死一个，没想到几年过去了，两口子脾气都好了，可恩爱了……,4367
佳琦爸爸,记得刚上大学那会儿，班级里有一女生叫：朱逸群。那会，军训点名时，教官一上来就大喊：猪一群，猪一群....全班同学懵逼，后来上课每次点名老师到她都跳过姓，直接喊：逸群！,2279
烟雨楼台夜朦胧,男友出差，再三嘱咐我照顾好他的小乌龟，，，男友刚走就帮小乌龟换了水，而后几天发现小乌龟在水里不动了，抱着水缸去花鸟市场，问卖乌龟的什么情况？老板拨拉了两下说：可能是水太多，淹死了。。。我有点无语，让老板给我找只差不多的。。。男友回来看看了小乌龟，开心的夸了我，我嘿嘿嘿，笑的我有点尴尬！,4080
烟雨楼台夜朦胧,最近感冒咳嗽，咳的不行了，，，吃了药，男友温柔的抚了两下我胸口，我说：没事，我吞的下去。男友又抚了两下说：别闹，我怕你咳出腹肌来。。。,3524
我有青春痘,高三狗，刚才班长在班群里通知：不要去网吧填报志愿，后果很严重！！！我以为是怕信息泄露什么的，结果他说：去网吧习惯性地打开LOL，就会忘记填志愿这回事儿的！,7016
Miss、大琪,凭我做四年幼师的经验告诉你，孩子把好吃的递给你，绝对不是给你吃的，是让你帮他把袋子拆开。。,8183
子活,在夜深人静，伸手不见五指的夜里，最想做的事情是伴鬼吓唬人。<br/>在一条深巷子里，有几个喝醉的人，一边走着一边在吹牛皮，突然披着白色床单的我，出现在他们面前。<br/>结果我悲剧了，他们边打边说:趁黑无常不在，好好收拾这个白无常。,5437
白雪菲菲,说一个老公侄子的，六七岁。有天想玩他爸爸的手机。害怕爸爸不给玩，对他奶奶说：奶奶，让你儿子把他手机给我玩玩呗。哈哈，小子有出息。,2593
祁东微生活吧^ω,吃饭时候！碰见乞丐问要钱，你就请他吃饭不给他钱。十个八个会走，一个是吃得比你还好得嫌弃你吃得差！然后吃两口就走。还有个确实到饭点没吃饭！别问我怎么知道的！我就是被乞丐嫌弃吃的差的那个，还被乞丐说教一番,3228
烟雨楼台夜朦胧,大家有没有逛商场上卫生间遇到马桶的时候，会把纸垫在马桶上一圈的习惯？<br/>提醒大家，以后不要这么做了！！一是因为浪费纸！二是因为，你会夹着卫生纸跑遍整个商场！,3969
【星空】小静,公司搞拓展训练，美女帅哥们都精神抖擞哒集结去户外营地，刚练了两个项目突然下起了暴雨。<br/>然而训练并没有中断，其中有一个项目是和你对面的人保持军姿并对视三分钟……<br/>可是教官，当我看到我们团队“团花”的脸半边红半边白，眉毛一条有一条没，三分钟不笑场……我特么真的做不到哇！,4797
凉拌蛋儿,前任被女朋友给甩了，还被打住院了，我连忙去医院探望他<br/>他躺床上眼睛都不翻的说“你是来看我笑话的吗？”<br/>我惊讶的说“你怎么知道的？”,6076
林晓九,两家人约在一起吃饭，长辈都到了就差男朋友一个没来。想着打个电话催他，手上有油就让老妈帮忙打通了开个免提，哪知道我还没说话这二货就一阵贼笑给我讲:昨天我爸出去喝酒怕我妈知道，塞给我三百封口费 晚上咱俩吃饭去啊~<br/>包间沉默三秒后哄堂大笑，不开玩笑  隔着屏幕都能感觉到他的绝望~,3769
缺根萝卜～,买了个大西瓜回来，回家就迫不及待的打开了！结果发现半生不熟，吃的时候也是没味儿的！一生气就给扔垃圾桶里去了！<br/>儿子看到后噘嘴道：我以后找老婆肯定要找个会跳西瓜的……,4177
十指相扣扣扣,闺蜜和她的男朋友正在吵架，我在旁边吃瓜。他们你一句我一句，吵得可激烈了，就在感觉他们快打起来的时候，闺蜜突然不吵了，淡定地拿出化妆包，开始画绿绿的眼影，橘红的腮红，再涂上火红火红的口红，特别特别浓的那种。我在旁边看得一愣一愣地，不解地问:“你干嘛化那么浓的妆？”“因为我要给点颜色给他瞧瞧！”哎！真为她的智商和情商着急………,2730
匿名用户,以前上学的时候，一同学很内向，每天无聊时就呆在座位上画画！一天，一个很开朗的女同学去挑逗他，“你这一天到晚的也不出去走走，不怕发霉啊！呵呵”<br/>他缓缓抬起头“别这样说，我算很好的了”女同学笑了笑，就你？估计连吹牛都不会，还说……话还没说完，只见他淡定的朝着她吹了一口气………,2739
苍南下山耍流氓，黑衣格哥买红糖,每次提起打针胖牛就一阵哆嗦，问其缘由，这货说：小时候去打针，因为怕疼就使劲挣扎，谁想医生也够狠，在胖牛挣扎中就下手了，一针扎在菊花上，，，，,3738
湿身失~神,一天，我问儿子<br/>儿子你长大以后干啥啊？<br/>儿子说<br/>我长大以后要当厕所管理员<br/>我当时就十分愤怒想自己的儿子咋这样不争气我就强忍着怒气跟他说为是么呢<br/><br/>儿子说以后那些的罪过我的人他们来我这上厕所我就让他们别在裤子里整死他们,1363
吃了两碗又盛,中考前，学生们来买文具，听他们讨论:<br/>“考场发演算纸吗？”<br/>“发，但是用得着吗？题都不会做。”,4261
我说她是金克斯,有一次和女友逛街时路过一家福彩，女友非要拉着我进去说她感觉今天运气好买一张彩票试试，我听后哑然失笑道:“要是中了一千万咱俩怎么花啊？”<br/>女友不假思索的回道:“要是真中一千万咱俩也不用凑合过了，一人五百万各自找个更好的去吧。”<br/>我。。。。。,6739
无奈恋上你的chun,宝妈都有这样的经历：给宝宝系着尿片的时候，屁事都没有，一旦哪次忘记系了或者是有信心不系的时候，宝宝铁定会尿裤子，有时候还要换床单。<br/>这是什么鬼规律……,3910
东京.真热？,今早一起床打开微信运动，平时睡到中午还不起床的小表弟居然走了一万多步。<br/>发信息问他，今天怎么这么勤快，起早晨跑了？<br/>小表弟说：晨跑个屁，昨晚夜宵小龙虾吃多了，拉肚子拉了一晚上。<br/>该，吃小龙虾都不叫我,2057
小麻姑娘，,早上给女儿煮了两个鸡蛋，小丫头去拿的时候还很烫，，直接冲我发脾气：妈妈，你干什么把鸡蛋烧的这么烫，烧烧熟就可以啦(小丫头两岁半),2200
小玉不吃鱼,男同事很瘦，偏偏喜欢上了我们体态丰腴女领导，可是女领导比他大六岁！大家都劝他算了，男同事说：女大三抱金砖，追到她我岂不是要抱两块金砖？我：两块砖能不能把你压死不知道，但是她一定能！,3774
高冷☆棒棒,周末回家，看家里地板脏了，就勤快了一次，拖干净了。结果老婆中午回来不小心摔了一跤，非说我是有预谋的。。把地板擦得太干净害她摔跤！<br/>…………为了惩罚我，我的零花钱要给她买裙子和鞋子……,5923
见过英雄,最遗憾的一次分手~~<br/>割了<br/>跟前任吵架，气的拎着包就走了，忘记他做的羊头肉炖白菜还在锅里呢<br/>现在想起来，好怀念那一锅辣乎乎的羊头肉白菜，当时真应该应该吃完再吵架,6126
潇菲菲,三岁的女儿要吃冰淇淋，我不愿意让她吃，于是跟我闹别扭。老公在旁边哄女儿说:“宝贝，我们换个妈妈好不好？换一个好的，漂亮的，愿意给你买冰淇淋的，愿意带你去蹦蹦床的……”<br/>女儿用手捂住脸，惊讶又期待的说:“真的吗？真的可以换吗？什么时候？！！”<br/>……唉！心好累……,4967
默然°,前几天老爹老妈出去旅游今天归来。问她出去玩的怎么样？老妈兴高采烈的说：很好啊，风景优美，大海好漂亮，海边的沙滩很柔软……说到这里，老妈突然情绪低落了下来接着说：可惜你没跟我们一起去，我玩的都不开心！听了这话本该很感动，可是我想说：母后大人啊，你去的时候根本就没说要带着我，我压根就不知道你们要出去旅游，你们都到了才告诉我的呀……,2332
B不想明天,今天吃早餐，一萌萌的妹子端了碗稀饭，慌忙中洒到我身上，把我新买的T恤弄污了，我看了看她，说没事的我自己洗，你走吧。我刚要走，她却抓住我衣服，说：你别走，赔我稀饭。,5353
倚楼醉听曲~,楼主北方人在南方工作，刚跟女友好的时候，去她住的地方做饭吃，女友切辣椒，随口问女友：你吃辣椒肯定厉害吧？女友乐呵呵的切了一节辣椒丢给她家养的萌犬，萌犬吃完吐着舌头对女友摇尾卖萌。。。我瞬间惊呆了！！！,4197
东临～天下,小时候，家里养有一头老母猪。一次我给老母猪喂食，不小心脚一滑栽猪槽里，当我拼命挣扎想爬起来时，这时老母猪““嗷嗷””地跑了过来，一嘴就把我拱出了槽外，老母猪的举动顿时让我感动了，          从此我把它当成自己的救命恩人，家里有什么好吃的都要和它一起分享，遇到啥不开心的事还跑到猪圈和它诉说一会……<br/>后来，妈妈告诉我，老母猪那次英勇的举动只是怕我与它抢吃泔水而已！<br/>我：……妈，能不能不要告诉我真相？？,2063
中国酒都国酒仁怀,结了婚的男人，有女的加你，要么微商，要么就是你老婆，还有就是丈母娘，切记，想网恋的需谨慎！！！,4221
吃了两碗又盛,极度讨厌对面楼那位偷窥狂魔小媳妇，昨天她看见我就狂笑不止:<br/>大哥，你真逗，哈哈哈哈，我看见你炒菜，用牙咬蒜往锅里放了……,5669
亲爱的达令~,同事在某宝上买东西，叮嘱店家一定要在五号前把货发出！<br/>店家很疑惑的问:五号过后您有什么重大活动或者不方便么？<br/>同事认真的答:因为我们五号发工资，到时候传达室会爆仓！,6922
琴公子,深夜无聊打开附近的糗友，一会有男的粉我，随意就回粉了。那哥们秒问：兄弟，约吗？我擦了：劳资不搞基，滚蛋。<br/>那哥们兴奋了：不搞基就好，咱离的近，快来搓麻将，三缺一。,9031
[星空]白月光,嫂子有事出去了，让我帮忙带快一岁的小侄子。孩子明明困了，就是一直哭着不睡。急的我汗都下来了。<br/>我打电话给嫂子，她说：哎呀忘记跟你说了，你快去买两个馒头或者苹果回来。我：给宝宝吃啊？<br/>嫂子说：他习惯摸着胸脯睡。你买了放胸口给他摸，一会就睡着啦！<br/>我想把这臭小子扔了。,3969
天空下着的小雨,我觉得还是不要整天在家玩手机，还是要多约几个朋友，出去走走，然后找个地方一起玩手机。,1907
夜袭寡妇村之…,带小学三年级小侄子去放风筝，刚接完电话，发现他跟一个二十出头的美女在清理绞在一起的卷线，还聊上了！见我过来，他拉我到一边小声说:“赶紧赔美女一个风筝，顺便加微信，我跑了好几圈才绞上的！”我捏了捏他的小脸蛋问:“要什么奖赏？”他指了指前面正在放风筝年龄相当的小萝莉说:“我没力气了，帮我绞上她的风筝！”,2404
缺根萝卜～,儿子晚上萌萌哒分别给外婆外公妈妈都捶了两下腿，捶完以后，往沙发上一躺长叹一口气:哎呀！我好累啊！付出就有回报，该你们伺候我了！,5595
缺根萝卜～,周末中午，妈妈在厨房做饭。客厅里我玩手机，爸爸看电视。<br/>我手机响了，闺蜜约我出去吃饭。<br/>爸爸一副如释重负的表情，对着厨房喊道:老伴啊，少做一半的饭，闺女不在家吃了！,3827
高冷☆棒棒,06年，那时候手机 上 网十五块钱包 月，还可以七块五包 半个月。<br/>我新买了一个可以上网的手机，幸运的是，喝绿 茶喝出来一个验 证 码，可以免 费 上 网半个月。欣喜若狂。<br/>按照 操 作提示，成功的开 通 上 网。<br/>第二天，手机 中 毒，返厂维修了！,4041
林晓九,养了两个多月的泰迪 那天就在小区我一转身就没了!————这是背景  割————过了一个星期它自己回来了，耷拉着脑袋就像病了，急得我呀直接翘班带它看医生!<br/>给它检查完以后医生就说了四个字:纵‘欲‘过‘度。我的老脸呀[大哭],5369
湮花三月下扬州,我们单位儿老李的儿子，从小就挑食，不吃海鲜，鸡蛋，蘑菇，茄子等。老李看在眼里，痛在心里。然后他苦练厨艺，最后终于把每一道菜都做的倍儿香。那些菜吃完第一口就想吃第二口，好吃的根本停不下来。他儿子终于不再挑食了，开始喜欢吃老李做的每一道菜。现在他那正上初中的儿子，已经长成了一个200多斤的大胖子。。。。,3395
i一枝红杏出墙来,一日与朋友吃午饭，我们都点了美味的秋刀鱼，吃着吃着，他突然说：&quot;每次吃鱼，我都有想要大喊一声的冲动！&quot;我心想他能喊什么呀，无非是好好吃好想再来一盘之类的，于是对他说：&quot;那你就喊呗！&quot; 这时他满脸幸福地喊了一声：&quot;喵~~~&quot;,3628
绿农千百Aen,大学四年，我默默地爱了她四年，今天，我终于鼓起勇气向她表白。她告诉我，她正准备出国，让我彻底地忘记她。我跟她说：“没事，我可以追你，也可以等你，地球是圆的，无论你走到哪里，我相信有一天，我们总能够相遇。”她说：“别那么幼稚，那都是骗人的，你看咱们的脑袋还是圆的呢，你见俩耳朵啥时候相遇过...”这……无盐以对,4847
某年某月：,闺蜜二青对我说未来大暴雨，担心出不去，她要买一艘船。<br/>我赶紧抱她大腿说：土豪啊，能一起划船吗？<br/>她白了我一眼说：这么浪漫的事怎么可能找你，何况，咱俩还会一起沉船…沉船…,3459
Verbinski,最近买了房子，爸爸赞助我一半的钱。<br/>我和爸爸开玩笑：“爸，你房子都帮我买下来了，那你干脆装修的钱也帮我包了吧。”<br/>爸爸斜视我一眼：“那我以后出钱帮你娶媳妇是不是还得帮你生一孩子。”<br/>突然妈妈拿着一把刀从厨房冲出来：“你敢！”,3983
吃了两碗又盛,楼主小时候聪明懂事，知道家里条件不好，从来不要吃的穿的。我哥跟我不一样，他看见卖冰棍的就吵着要，这时候我擦擦口水说:俺不要冰棍，留着钱还给俺爷打酒喝呢！<br/>我爷听见了，马上就给我买了两根冰棍，并勒令不能给我哥吃。,5298
诚铭1,吐槽一下，刚毕业时，面试被拒，理由长得不像好人；半夜进自己家，楼下被保安拦住询问；去洗个脚，服务员一直把我往最里面的屋子里带。我是我想说：我是好人，真的。,1523
小仙女微微呀,闺蜜妖妖无意中听说她男神喜欢有点肉肉的女生，微胖的她终于鼓足了勇气去表白，没想到却遭到了拒绝。<br/>原来男神喜欢的是胸部肉肉的女生，不是全身都是肉的女生。,2747
小手呀冰凉,大姨 妈期间，上厕所的时候被闺女看见了，关心的问我是不是受伤了，怎么流 血了？我只好说是大姨 妈来了。闺女一 脸惊恐:她是带着 刀来的吗？,8923
＜女监＞男监狱长,昨天在单位拆防盗门，不小心把手卡在了门缝里，赶紧打电话给关系最好同事求救，他来了以后用手机当手电筒，照了一会开始救我，一会我手就出来了。对他千恩万谢，下班发现他竟然拍了照发了朋友圈。尼玛友尽,3332
叫我楊公子,今天一个客人来买一个铁锹，他选好过来付钱，老板问他有柄吗？那个买的没有说话，老板又问你有柄吗？那个人发火了，你tm才有病，你全家都有病，老板莫名其妙的跟人家吵了半小时，，，，，，，,4069
凉拌蛋儿,闺蜜说自己没车没房没存款，然后又补充一句：“但是我骚啊，我骚啊，哈哈”<br/>我：“能傍上就行是吧？”,2576
阿·木,看上一款剃须刀，手中钱紧，没买！于是我一周不刮胡子！媳妇儿问我:“为什么留胡子？”我说:“剃须刀坏了！”媳妇儿说:“我最讨厌男人不修边幅，给你300块，去买个新的吧！！！”,5837
谁的笑容倾了城ˊ,今晚十点跟朋友小喝几杯，有点微醉，走过广场有一班大妈跳广场舞，刚好看见角落有个女孩底头玩手机，发小就怼勇我过去拿微信号，借着酒色壮胆就走上前问借个手机打电话。--套路--不料几个跳舞的大妈走过来问我:你小子干嘛呢？我  我就借个手机打电话、,2528
匿名用户,就刚刚带孩子来检查…取票了还有70位才到…女儿害怕。在闹，后面的一美女给了个号我说让孩子先看…我说你呢。他说还有个号。说了谢谢。我带孩子查好后。回头看她…她正在重新取号。谢谢美女,1752
勒索病毒,明年就高考了，我英语很差，天天练还是没用。闺密说：算了吧，一个女孩子练什么英语？练好日语就行了！,4642
村里娘们都是我的,上小学，有个哥们坐后排，不爱听课，上课无聊就揪眉毛玩，结果后来揪光了[大笑],1074
ｋｅｘ,上学的时候我同桌他老妈是一个送葬乐队里吹小号的，有次学校要求填表格，表格有一个要填父母职业的，当我看见在他妈职业那里他填的是“音乐家”时…我突然想把我会切砖盖房子的老爸职业改写成“建筑师”…,7223
跪下，叫One苏A,一同事出门丢了10块钱，回来后闷闷不乐的。<br/>我:“不就10块钱嘛，至于嘛。买不了车买不了房的”<br/>同事“买成老鼠药够毒死你好几回的”！<br/>擦…………,4796
卡塔丽亚,这两天天冷，我和朋友去动物园，她穿了件豹纹针织衫，走到动物园门口，管理员把朋友拦下来，不许她进去，我追问原因，管理员意味深长的看了看朋友，说，这两天豹子发情。。。。,1506
醉酒舞剑砍疯子※,周末我和小侄在家，说好我洗完衣服就带他去超市，先让他下楼玩。结果他在楼下十分钟就按门铃催了我五次。<br/>我最后烦了，不接门铃！后来门铃响个没完，我一着急，抓起门铃就吼：滚 犊 子，再催把你喂狗！<br/>然后，传来一陌生男人的声音:你是叫狗剩吧，你的快递。。。,3768
王八与蛋,某男因为讨好某女去吃辣，他自己不吃辣，结果导致痔疮破损而住院！这个事情是我从两个小护士闲聊时听来的。我怎么这么八卦？妈蛋！我也不想啊！男厕维修，我到女厕行个方便，就被她俩堵在门里了！,2417
点赞哥十三狗,说个自己名字的趣事。LZ农村人，我爷爷那辈共两兄弟，生了我爸这辈共八兄弟，到我这辈就有十五兄弟了。相信很多人都知道孩子小时候给取个啊猫啊狗的比较容易养活，于是我就有了大狗哥、二狗哥、三狗哥……十四狗弟、十五狗弟。在我们村如果你直呼我大名（读书时用的名字）很多人都不知道是谁，但是你要是说声十三狗，全村上下老少皆知。,1669
婚内单身,刚刚大女儿和后院的一个男孩玩，从家里拿了个东西（我在卧室，不知道拿的什么）说：“快走快走，俺妈可厉害。。。”,2763
十指相扣扣扣,记得小学一年级时，学了《小蝌蚪找妈妈》后，都很想养几条小蝌蚪，看它怎么慢慢变成青蛙。第二天，我们班一调皮的男孩子用矿泉水瓶子装了一瓶子的蝌蚪来学校，大家都很想要，那男孩子就像后宫发放俸禄一样，你几条，他几条，玩得好的多分几条，玩得不好的没一条……别提有多趾高气昂了！过了些日子，我们全班都“追杀”他，因为那些蝌蚪确实慢慢长大了，可长大后的不是青蛙，全是癞蛤蟆！,2148
阿·木,今天公司门岗告诉我，说大门口有一个老头子找我，我出去一看，原来是老丈人。老丈人说:“我在对面商场买东西，钱不够，你先借我200块~”这门岗也是嘴欠，下午公司里就传开了，说我欠人家钱，人家追到了单位！回到家，我当笑话说给媳妇儿听。媳妇儿立马给她爹打电话说:“以后再去公司一定要说明身份！~”当天晚上老丈人就给我发微信了，我还以为是要向我道歉，哪知道老丈人说:“以后你别在我闺女面前揭发我，告诉你吧，她是我派到你身边卧底的，她说那200块钱不用还了！...”卧槽！！！,2708
变色狼烟,找女朋友如果可以千万不要找自己邻居，一旦成为前女友，这抬头不见低头见的。你热情一点她说你想旧情复燃，你稍微冷漠一点她说你不念旧情。,1507
二货安好。,楼主美团外卖小哥，今天接了一个工地的单，备注：小哥你到了给我打电话，我的位置有点高，我自己下来拿！<br/>嘿我这暴脾气，作为优秀的外卖小哥，这点小事会难住我？于是我给客户打电话，信誓旦旦的保证。没事，我给你送上来！客户说。那好吧，你往天上看！<br/>现在，我在塔吊底下，望着几十米高的塔吊，不禁陷入了沉思……,4582
茉茉茉茉莉花,老爸44岁那年有我，我今年31岁。最近老爸住院，我带姐姐家14岁的外甥女一起去看他。隔壁病床的大爷问我爸:两个孙女都来看你啦？,2276
黄山小妖,男朋友紧紧的抱住我说道：“三个月了，你对我进行了各种考验，我们是不是可以...”我慢慢的把他的手松开，淡定的说道：“今天是最后的考验，你等一下，我先洗个脸...”,7193
我独自一人的故事,今天家里来了老妈的同事，老妈当着同事喊我乳名:“宝宝！去把冰箱里的西瓜切开拿给阿姨们吃。”<br/>听见老妈同事在笑，我说:“妈！人家都这么大了，喊我乳名有点不好意思了！”<br/>老妈想了想喊:“单身狗！去把冰箱里的西瓜切开拿给阿姨们吃！。。。,5703
平凡^_^幸福,今天送女儿去学写字，又把儿子丢给老公带，还没出门就听见老公跟儿子说道：儿子，去帮爸爸把饮料来过来。只见儿子屁颠屁颠的给他爸拿去了。这时候我就问老公了：到底是你带儿子还是儿子带你啊？老公回答说：大家互相照顾吧！…………………,6029
意大利面条22,我刚生下来的时候我爸爸跟个小孩似的，有一次他用婴儿车推我出去玩儿，突发奇想把我的婴儿车推上一个斜坡，然后撒手，车子飞出去，拉都拉不住，我如一枚炸弹一样飞了出去。幸好一个一个阿姨及时抱住了我……感谢阿姨救命之恩！我爸爸吓得两个星期说不出话来，后来就结巴了……看起来很荒诞，但这是真实的故事……,2683
絕錠ゝ祗愛伱,话说前几天，刚和老婆经历了一些乱七八糟的事情重归于好。我陪她去超市买东西，她挽着我的手忽然深情地对我说：“谢谢你老公，一路陪我走来。”然后我说：“这么近还打车啊。”结果，晚上又睡了一夜沙发。,4335
